"","outcome","purpose_","dti","borrower_score","payment_inc_ratio"
"1442","default","debt_consolidation",15,0.45,7.8366
"40173","paid off","other",4.24,0.65,12.0472
"3316","default","credit_card",9.16,0.7,5.43183
"22672","default","debt_consolidation",21.58,0.45,8.80175
"9337","default","debt_consolidation",20.28,0.35,13.6681
"7497","default","home_improvement",13.33,0.6,15.2208
"43939","paid off","debt_consolidation",29.57,0.7,4.41514
"43984","paid off","home_improvement",7.41,0.6,4.8274
"9808","default","debt_consolidation",31.52,0.25,14.9893
"22030","default","debt_consolidation",3.95,0.35,8.41493
"10802","default","debt_consolidation",29.65,0.5,12.7859
"1623","default","home_improvement",16.22,0.4,6.26416
"6384","default","debt_consolidation",22.94,0.45,11.8157
"45256","paid off","debt_consolidation",12.11,0.6,1.79208
"42343","paid off","debt_consolidation",10.55,0.55,4.93975
"1182","default","major_purchase",14.98,0.7,2.8408
"44005","paid off","debt_consolidation",11.16,0.45,6.88157
"512","default","debt_consolidation",10.93,0.25,6.17568
"40319","paid off","debt_consolidation",17.85,0.65,4.14344
"25641","paid off","home_improvement",18.46,0.65,8.3552
"44213","paid off","other",21.65,0.7,3.41769
"15519","default","debt_consolidation",14.12,0.4,7.46681
"5125","default","other",6.9,0.45,3.23067
"18488","default","small_business",8.5,0.3,6.66822
"22974","default","other",15.14,0.4,6.81315
"24318","paid off","credit_card",21.74,0.4,12.8332
"1608","default","debt_consolidation",21.83,0.4,3.45117
"6310","default","credit_card",17.04,0.55,18.252
"31902","paid off","debt_consolidation",12.28,0.45,7.51214
"39462","paid off","debt_consolidation",11.05,0.45,3.56463
"33688","paid off","debt_consolidation",20.49,0.6,9.52044
"25512","paid off","debt_consolidation",6.3,0.8,2.93329
"31364","paid off","credit_card",11.43,0.4,3.91871
"7313","default","debt_consolidation",10.52,0.3,11.3684
"32748","paid off","other",17.16,0.65,2.22768
"23426","paid off","debt_consolidation",15.44,0.35,11.052
"14946","default","debt_consolidation",27.47,0.45,8.54583
"18091","default","debt_consolidation",6.85,0.65,10.6469
"6528","default","debt_consolidation",21.8,0.7,7.89548
"18702","default","debt_consolidation",20.96,0.6,15.2179
"33296","paid off","debt_consolidation",22.22,0.7,1.8262
"3601","default","debt_consolidation",7.86,0.45,10.5562
"32682","paid off","debt_consolidation",17.34,0.45,9.39172
"28425","paid off","debt_consolidation",21.9,0.55,2.35527
"26565","paid off","debt_consolidation",6.18,0.6,3.42268
"9564","default","debt_consolidation",14.25,0.35,5.1689
"23138","paid off","credit_card",20,0.55,6.5328
"12119","default","credit_card",8.61,0.55,5.8128
"44995","paid off","debt_consolidation",21.65,0.4,10.8477
"16413","default","debt_consolidation",18.02,0.35,14.4902
"1694","default","debt_consolidation",11.63,0.45,4.01591
"4267","default","debt_consolidation",19.62,0.4,13.1492
"9027","default","debt_consolidation",7.2,0.65,4.0832
"6952","default","credit_card",13.5,0.45,9.46525
"8028","default","debt_consolidation",17.37,0.45,8.74548
"9725","default","home_improvement",22.63,0.5,11.0157
"40322","paid off","debt_consolidation",15.92,0.55,4.3864
"13767","default","credit_card",20.81,0.45,1.86859
"26774","paid off","credit_card",16.91,0.5,14.5938
"42784","paid off","debt_consolidation",20.33,0.4,2.31257
"34119","paid off","debt_consolidation",22.81,0.7,7.86265
"13039","default","debt_consolidation",14.9,0.55,10.4258
"37858","paid off","debt_consolidation",19.73,0.45,6.69671
"7766","default","debt_consolidation",3.26,0.55,4.9814
"21887","default","debt_consolidation",27.44,0.35,6.884
"38575","paid off","debt_consolidation",29.92,0.8,3.10272
"38270","paid off","major_purchase",18.53,0.4,1.74975
"26562","paid off","home_improvement",13.51,0.8,1.26846
"19338","default","credit_card",21.08,0.6,18.7267
"4887","default","small_business",4.25,0.65,7.11404
"4399","default","debt_consolidation",8.49,0.55,3.70653
"22998","default","credit_card",11.09,0.4,11.0899
"38004","paid off","debt_consolidation",10.03,0.3,6.86583
"2393","default","home_improvement",25.5,0.35,2.32625
"32360","paid off","credit_card",19.6,0.4,14.723
"5969","default","debt_consolidation",12.27,0.55,13.6237
"11951","default","debt_consolidation",19.82,0.4,2.22711
"15791","default","debt_consolidation",22.32,0.55,8.3847
"13607","default","debt_consolidation",33.63,0.4,18.9266
"5558","default","home_improvement",14.2,0.3,2.19975
"26019","paid off","credit_card",10.12,0.4,3.50452
"3331","default","credit_card",15.69,0.45,3.1193
"44670","paid off","other",9.07,0.8,12.4181
"25599","paid off","debt_consolidation",15,0.55,14.7456
"19776","default","other",18.46,0.3,5.03748
"9454","default","credit_card",17.27,0.4,12.1857
"32654","paid off","credit_card",15.74,0.6,3.321
"36616","paid off","debt_consolidation",12.91,0.5,11.5172
"30369","paid off","debt_consolidation",20.7,0.45,4.74356
"6643","default","debt_consolidation",27.56,0.3,6.8036
"15513","default","credit_card",20.31,0.45,10.1241
"14662","default","debt_consolidation",22.96,0.6,7.19192
"8575","default","home_improvement",3.26,0.5,1.01851
"6724","default","debt_consolidation",24.99,0.35,10.2
"24403","paid off","small_business",14.96,0.4,1.35106
"20710","default","credit_card",14.37,0.2,13.3586
"31756","paid off","credit_card",10.77,0.5,10.1669
"45506","paid off","debt_consolidation",13.68,0.4,7.8722
"41398","paid off","debt_consolidation",2,0.6,3.60836
"36893","paid off","debt_consolidation",21.65,0.55,9.02328
"32089","paid off","credit_card",13.76,0.7,11.7677
"29575","paid off","credit_card",23.1,0.35,17.1497
"14714","default","credit_card",19.58,0.45,12.2528
"38198","paid off","debt_consolidation",24.4,0.4,4.3794
"32826","paid off","debt_consolidation",22.09,0.6,7.72842
"30663","paid off","debt_consolidation",31.14,0.55,9.29468
"30325","paid off","debt_consolidation",25.38,0.3,12.1161
"5523","default","debt_consolidation",13.36,0.6,6.15938
"33812","paid off","other",3.3,0.65,4.8146
"19895","default","other",16.41,0.5,2.39527
"27743","paid off","debt_consolidation",13.33,0.55,5.4589
"19795","default","major_purchase",11.63,0.5,1.85257
"24076","paid off","other",23.38,0.55,4.01974
"5986","default","small_business",25.03,0.5,4.05024
"6308","default","debt_consolidation",16.67,0.55,11.9562
"44369","paid off","debt_consolidation",23.64,0.4,11.4246
"25400","paid off","debt_consolidation",12.4,0.65,4.633
"44535","paid off","debt_consolidation",24.17,0.6,6.48681
"42230","paid off","other",20.83,0.3,6.2946
"42334","paid off","debt_consolidation",17.16,0.55,9.61636
"35940","paid off","debt_consolidation",12,0.35,11.1455
"42842","paid off","debt_consolidation",6,0.6,5.84107
"21722","default","debt_consolidation",16.9,0.65,5.21957
"42960","paid off","credit_card",20.69,0.55,2.96373
"37107","paid off","major_purchase",16.64,0.45,7.91089
"21129","default","debt_consolidation",26.72,0.35,8.20461
"25279","paid off","credit_card",11.3,0.45,7.12901
"34535","paid off","credit_card",14.84,0.6,2.34424
"14821","default","major_purchase",5.72,0.35,18.4406
"15317","default","debt_consolidation",11.8,0.35,5.13325
"35079","paid off","debt_consolidation",15.74,0.45,3.35863
"41331","paid off","debt_consolidation",30.32,0.6,7.0848
"8749","default","medical",4.4,0.6,2.728
"24515","paid off","debt_consolidation",32.95,0.6,10.4492
"32648","paid off","debt_consolidation",11.33,0.25,4.8756
"8187","default","debt_consolidation",29.56,0.4,11.4334
"24929","paid off","debt_consolidation",24.28,0.7,11.294
"11167","default","debt_consolidation",2.79,0.6,6.99231
"24070","paid off","debt_consolidation",13.4,0.5,13.4886
"15877","default","debt_consolidation",27.56,0.4,3.85686
"37751","paid off","debt_consolidation",20.56,0.6,7.48667
"14616","default","credit_card",32.32,0.65,8.05246
"13588","default","other",21.24,0.4,1.97104
"38137","paid off","credit_card",2.51,0.45,5.06205
"7809","default","small_business",7.3,0.5,3.02107
"21200","default","credit_card",13.04,0.55,4.94912
"36236","paid off","debt_consolidation",25.62,0.55,6.43826
"23712","paid off","debt_consolidation",19.99,0.5,4.62795
"5161","default","other",7.31,0.5,3.97765
"35235","paid off","debt_consolidation",18.21,0.65,7.71173
"5194","default","other",8.79,0.45,15.5629
"32892","paid off","debt_consolidation",26.44,0.55,5.02311
"20490","default","debt_consolidation",11.24,0.5,8.68167
"13854","default","debt_consolidation",15.39,0.45,13.8847
"39569","paid off","debt_consolidation",23.64,0.65,5.57578
"398","default","credit_card",20.62,0.65,10.0385
"46040","paid off","other",8.36,0.45,8.09928
"20930","default","major_purchase",16.23,0.45,4.65343
"8905","default","debt_consolidation",21.15,0.4,6.9732
"42381","paid off","home_improvement",21.81,0.2,4.27535
"34585","paid off","credit_card",5.48,0.5,7.24706
"40076","paid off","debt_consolidation",14.55,0.25,19.1007
"37124","paid off","credit_card",12.8,0.5,9.44192
"14927","default","credit_card",9.48,0.45,5.2647
"27362","paid off","home_improvement",6.34,0.6,5.9944
"31595","paid off","debt_consolidation",3.8,0.7,3.68445
"15593","default","debt_consolidation",16.67,0.55,13.499
"3822","default","debt_consolidation",7.66,0.45,7.34477
"635","default","debt_consolidation",8.86,0.45,5.8584
"27062","paid off","small_business",5.98,0.7,3.03273
"1153","default","other",16.95,0.4,4.75025
"36328","paid off","debt_consolidation",11.65,0.45,6.47904
"23576","paid off","major_purchase",4.34,0.5,12.6034
"7250","default","debt_consolidation",24.43,0.6,12.8755
"27581","paid off","debt_consolidation",18.67,0.55,7.68804
"14904","default","credit_card",21.07,0.5,7.32976
"14576","default","debt_consolidation",17.66,0.45,10.1666
"21258","default","debt_consolidation",18.28,0.3,12.5124
"16411","default","debt_consolidation",18.37,0.5,12.048
"14987","default","other",17.98,0.4,5.1534
"14651","default","debt_consolidation",18.98,0.35,1.01111
"29709","paid off","debt_consolidation",11.5,0.5,8.94425
"25877","paid off","debt_consolidation",9.34,0.45,4.41497
"23675","paid off","debt_consolidation",16.53,0.45,3.17662
"30841","paid off","credit_card",14.4,0.6,12.5889
"38815","paid off","credit_card",10.32,0.65,2.94086
"35051","paid off","debt_consolidation",8.58,0.3,5.52232
"7877","default","home_improvement",15.08,0.25,7.52931
"15250","default","debt_consolidation",22.14,0.3,3.82291
"22945","default","debt_consolidation",17.87,0.6,12.5692
"4138","default","debt_consolidation",11.59,0.45,7.95346
"36948","paid off","debt_consolidation",17.59,0.6,8.64912
"42830","paid off","credit_card",20.64,0.45,5.08368
"12876","default","debt_consolidation",24.41,0.55,4.19376
"4187","default","other",17.57,0.35,4.93924
"24249","paid off","credit_card",28.06,0.45,9.65945
"7290","default","credit_card",30.02,0.35,1.53862
"45857","paid off","home_improvement",18.74,0.5,5.59229
"16646","default","debt_consolidation",16.18,0.55,7.306
"16747","default","other",3.4,0.65,13.3088
"37753","paid off","debt_consolidation",17.29,0.5,3.47963
"19969","default","debt_consolidation",13.3,0.6,12.5246
"34963","paid off","home_improvement",5.61,0.65,2.0586
"41517","paid off","debt_consolidation",2.24,0.45,3.54657
"6552","default","debt_consolidation",28.06,0.3,7.59699
"14279","default","debt_consolidation",12.79,0.45,9.82954
"27125","paid off","debt_consolidation",14.09,0.7,3.12906
"30457","paid off","major_purchase",9.84,0.6,19.6195
"5905","default","credit_card",22.13,0.55,2.50007
"44112","paid off","debt_consolidation",13.36,0.6,13.7
"17777","default","debt_consolidation",29.82,0.5,7.5936
"1586","default","debt_consolidation",13.58,0.6,7.57512
"39603","paid off","debt_consolidation",19.37,0.55,7.06414
"5022","default","debt_consolidation",17.24,0.5,5.3064
"26382","paid off","debt_consolidation",16.2,0.4,11.0945
"8827","default","debt_consolidation",19.8,0.5,6.10111
"2613","default","small_business",2.69,0.55,12.8317
"12072","default","debt_consolidation",32.53,0.15,11.2923
"13359","default","debt_consolidation",21.12,0.3,9.23308
"25456","paid off","other",5.67,0.65,1.56211
"32997","paid off","debt_consolidation",7.72,0.45,14.5008
"24171","paid off","credit_card",15.05,0.65,18.1467
"7717","default","debt_consolidation",7.28,0.65,6.98366
"7394","default","medical",18.79,0.5,7.4264
"38891","paid off","credit_card",23.3,0.5,5.02315
"35620","paid off","debt_consolidation",20.21,0.55,5.85825
"24235","paid off","credit_card",8.35,0.55,4.1526
"29373","paid off","debt_consolidation",5.08,0.35,7.83038
"44605","paid off","debt_consolidation",28.22,0.6,8.52015
"11652","default","small_business",3.88,0.45,10.1974
"34156","paid off","debt_consolidation",13.17,0.5,4.49806
"43639","paid off","debt_consolidation",14.04,0.55,0.815313
"32161","paid off","credit_card",18.56,0.55,11.8985
"18733","default","small_business",11.36,0.65,15.6102
"30036","paid off","debt_consolidation",22.57,0.65,3.17802
"25581","paid off","debt_consolidation",14.19,0.65,3.17727
"33232","paid off","debt_consolidation",19.79,0.4,12.9468
"15721","default","credit_card",9.51,0.5,13.9478
"21900","default","debt_consolidation",19.53,0.5,10.6428
"28019","paid off","debt_consolidation",9.39,0.5,6.97733
"20856","default","debt_consolidation",10.73,0.4,10.336
"45246","paid off","debt_consolidation",20.81,0.8,4.83918
"43077","paid off","debt_consolidation",20.49,0.45,21.0594
"39961","paid off","debt_consolidation",23.66,0.35,11.0606
"38480","paid off","debt_consolidation",16.63,0.6,14.4174
"12955","default","debt_consolidation",10.97,0.55,6.2385
"1466","default","major_purchase",17.27,0.55,5.995
"15384","default","debt_consolidation",29.97,0.6,13.1806
"3312","default","debt_consolidation",19.61,0.55,5.86192
"46252","paid off","debt_consolidation",16.73,0.5,14.9765
"21055","default","debt_consolidation",13.36,0.45,8.87572
"33083","paid off","credit_card",19.01,0.75,8.43347
"21428","default","home_improvement",4.24,0.4,3.67061
"20241","default","debt_consolidation",9.82,0.5,5.31147
"16673","default","other",8.18,0.65,11.7377
"14417","default","debt_consolidation",4.11,0.65,14.8171
"14066","default","debt_consolidation",16.86,0.6,18.7648
"34087","paid off","other",0.43,0.45,2.83
"34337","paid off","debt_consolidation",34.9,0.45,6.94416
"4589","default","debt_consolidation",7.83,0.35,5.68958
"12840","default","other",33.93,0.4,15.1934
"41228","paid off","credit_card",22.14,0.7,4.71376
"21331","default","debt_consolidation",13.39,0.5,12.4348
"6601","default","other",25.36,0.2,4.06295
"2732","default","debt_consolidation",7.62,0.55,1.35981
"42266","paid off","credit_card",27.93,0.5,7.39324
"6555","default","debt_consolidation",17.9,0.55,10.4232
"16522","default","small_business",25.6,0.35,10.5906
"17631","default","debt_consolidation",17.16,0.4,14.1738
"41935","paid off","other",11.41,0.35,2.36185
"26100","paid off","credit_card",23.5,0.55,4.94264
"37166","paid off","debt_consolidation",26.23,0.55,11.7443
"33920","paid off","debt_consolidation",19.27,0.5,6.40371
"6407","default","other",18.09,0.45,6.96762
"38574","paid off","other",15.93,0.65,3.07135
"34471","paid off","credit_card",6.35,0.35,9.56626
"20793","default","debt_consolidation",5.96,0.3,11.5796
"12323","default","debt_consolidation",17.55,0.6,8.00924
"11687","default","debt_consolidation",29.25,0.3,9.01509
"44163","paid off","debt_consolidation",12.74,0.65,3.36576
"45553","paid off","other",21.54,0.55,11.0864
"10668","default","debt_consolidation",7.39,0.55,10.6623
"31026","paid off","debt_consolidation",29.4,0.4,4.31571
"42585","paid off","credit_card",24.16,0.45,3.4123
"11656","default","debt_consolidation",20.58,0.3,2.92391
"39599","paid off","credit_card",9.12,0.55,6.1656
"35181","paid off","debt_consolidation",12.95,0.6,5.30253
"10742","default","debt_consolidation",4.88,0.6,3.66281
"44641","paid off","other",13.55,0.65,2.48813
"26110","paid off","debt_consolidation",19.05,0.4,17.1908
"25967","paid off","debt_consolidation",11.06,0.65,13.9333
"25377","paid off","debt_consolidation",23.06,0.5,6.86716
"27443","paid off","debt_consolidation",20.14,0.4,9.49544
"24268","paid off","other",21.66,0.55,15.4537
"25345","paid off","debt_consolidation",10.87,0.5,3.3635
"43613","paid off","small_business",9.81,0.7,13.2478
"20734","default","debt_consolidation",20.27,0.4,11.4551
"13237","default","credit_card",14.92,0.2,14.7162
"27769","paid off","home_improvement",5.1,0.5,2.94542
"23882","paid off","debt_consolidation",24.59,0.5,13.1036
"26634","paid off","medical",0,0.6,15.192
"39714","paid off","debt_consolidation",18.96,0.65,9.60468
"2369","default","home_improvement",10.55,0.65,7.37436
"33450","paid off","debt_consolidation",12.79,0.6,10.5392
"24527","paid off","medical",12.6,0.55,5.91257
"16800","default","debt_consolidation",21.85,0.5,6.99855
"17762","default","other",33.73,0.4,5.03486
"12713","default","credit_card",25.41,0.35,5.52539
"13106","default","credit_card",19.68,0.4,10.5804
"31168","paid off","debt_consolidation",15.73,0.6,3.93813
"5109","default","debt_consolidation",14.33,0.7,4.93559
"15915","default","debt_consolidation",18.38,0.35,11.7734
"38095","paid off","credit_card",29.69,0.35,8.57195
"30076","paid off","home_improvement",18.3,0.7,4.39349
"4218","default","other",0.46,0.45,2.94
"44707","paid off","other",21.75,0.35,2.90444
"15245","default","debt_consolidation",2.83,0.35,3.11625
"38776","paid off","debt_consolidation",11.67,0.5,7.39186
"23298","paid off","debt_consolidation",8.85,0.6,9.41777
"30712","paid off","other",0.96,0.8,1.54864
"33551","paid off","debt_consolidation",10.28,0.55,7.86277
"16059","default","home_improvement",23.82,0.5,6.17567
"19268","default","debt_consolidation",18.62,0.45,6.73104
"9270","default","debt_consolidation",8.93,0.5,10.0146
"42353","paid off","debt_consolidation",11.47,0.6,11.8547
"33999","paid off","credit_card",14.29,0.35,4.21329
"15229","default","debt_consolidation",18.13,0.5,4.78286
"17342","default","credit_card",21.26,0.6,3.26606
"27396","paid off","debt_consolidation",18.81,0.55,3.36135
"37819","paid off","credit_card",8.47,0.5,5.08885
"45266","paid off","other",15.46,0.5,11.2952
"7757","default","major_purchase",21,0.6,2.86448
"811","default","small_business",18.53,0.4,10.6262
"40248","paid off","debt_consolidation",15.3,0.65,15.7948
"6587","default","other",18.87,0.6,11.9808
"44801","paid off","major_purchase",11.96,0.6,13.5712
"20237","default","debt_consolidation",17.72,0.6,11.7831
"39758","paid off","debt_consolidation",24.8,0.45,10.0146
"42449","paid off","debt_consolidation",27.72,0.55,5.39952
"36431","paid off","home_improvement",15.09,0.4,5.23664
"43699","paid off","home_improvement",6.71,0.45,1.27038
"12874","default","debt_consolidation",15.04,0.5,6.98585
"36243","paid off","credit_card",20.64,0.5,6.642
"21949","default","home_improvement",15.16,0.45,9.50826
"31392","paid off","debt_consolidation",23.64,0.7,8.5864
"37755","paid off","debt_consolidation",29.69,0.45,7.02502
"23299","paid off","small_business",24.83,0.5,7.24727
"31975","paid off","debt_consolidation",16.2,0.55,4.42152
"34154","paid off","major_purchase",17.6,0.45,12.4159
"35523","paid off","credit_card",7.36,0.4,6.9888
"23398","paid off","credit_card",29.44,0.4,6.30496
"21784","default","debt_consolidation",20.6,0.55,12.6509
"26007","paid off","debt_consolidation",25.6,0.5,6.4525
"6517","default","credit_card",24.65,0.4,15.7941
"41864","paid off","debt_consolidation",10.78,0.35,5.30009
"40326","paid off","debt_consolidation",2.71,0.75,9.55981
"36025","paid off","debt_consolidation",26.14,0.4,4.74
"2476","default","other",16.2,0.45,2.24496
"4242","default","other",23.84,0.45,10.339
"13179","default","other",1.7,0.5,4.891
"20353","default","debt_consolidation",9.67,0.45,5.0123
"11773","default","debt_consolidation",6.58,0.6,12.7507
"21589","default","other",13.72,0.35,2.17375
"7300","default","credit_card",31.31,0.3,14.4499
"18816","default","credit_card",17.33,0.3,4.44655
"33417","paid off","credit_card",3.42,0.35,2.8068
"24749","paid off","debt_consolidation",15.15,0.45,15.2893
"25045","paid off","debt_consolidation",6.57,0.75,10.9235
"6305","default","debt_consolidation",19.73,0.6,11.8681
"43366","paid off","credit_card",31.29,0.5,13.0549
"31245","paid off","credit_card",8.01,0.75,2.07424
"28402","paid off","other",19.11,0.15,7.77401
"34163","paid off","debt_consolidation",9.91,0.65,3.54422
"3288","default","debt_consolidation",5.41,0.35,19.5908
"38080","paid off","debt_consolidation",7.8,0.45,5.32461
"13560","default","credit_card",31.29,0.55,11.9778
"20838","default","debt_consolidation",14.61,0.55,18.2411
"35855","paid off","credit_card",12.2,0.6,7.51485
"37439","paid off","small_business",24.04,0.75,5.976
"25491","paid off","debt_consolidation",9.25,0.5,3.39154
"5960","default","home_improvement",17.64,0.6,3.09278
"4637","default","other",21.02,0.25,15.5122
"2552","default","other",0,0.25,6.74467
"36130","paid off","credit_card",19.62,0.7,7.23232
"30320","paid off","debt_consolidation",10.26,0.4,6.504
"13956","default","debt_consolidation",9.17,0.45,7.26972
"38123","paid off","debt_consolidation",15.17,0.45,6.61354
"41594","paid off","debt_consolidation",13.11,0.7,11.339
"8199","default","debt_consolidation",14.92,0.55,18.3567
"25697","paid off","home_improvement",3.98,0.55,2.1209
"992","default","debt_consolidation",21.2,0.55,6.70725
"44048","paid off","debt_consolidation",5.16,0.45,7.582
"27110","paid off","home_improvement",3.03,0.5,8.039
"26839","paid off","debt_consolidation",8.7,0.65,7.00133
"44367","paid off","debt_consolidation",6.84,0.6,8.5661
"30417","paid off","credit_card",13.93,0.45,4.16171
"32885","paid off","home_improvement",7.33,0.7,2.58426
"40573","paid off","home_improvement",5,0.65,4.32851
"5398","default","major_purchase",15.99,0.45,7.13878
"17043","default","debt_consolidation",11.92,0.3,10.5275
"15259","default","credit_card",27.35,0.4,13.523
"27703","paid off","credit_card",7.07,0.45,5.19905
"10090","default","debt_consolidation",23.87,0.3,14.1551
"40864","paid off","credit_card",28.44,0.6,8.03966
"39420","paid off","home_improvement",25.42,0.55,6.93962
"35237","paid off","debt_consolidation",27.96,0.65,10.1268
"36495","paid off","credit_card",9.17,0.6,3.52151
"19441","default","debt_consolidation",7.1,0.35,4.94479
"17519","default","debt_consolidation",17.33,0.6,3.04848
"8629","default","other",4.37,0.4,7.29312
"27802","paid off","debt_consolidation",28.11,0.6,8.17714
"42637","paid off","debt_consolidation",3.17,0.6,3.6504
"12811","default","debt_consolidation",25.63,0.2,15.1926
"11313","default","other",18.43,0.4,9.52213
"27436","paid off","debt_consolidation",26.09,0.45,3.19655
"14022","default","debt_consolidation",21.16,0.5,17.772
"12716","default","debt_consolidation",9.47,0.5,14.4162
"27815","paid off","other",21.45,0.5,6.40194
"39439","paid off","credit_card",4.03,0.7,3.26875
"1221","default","credit_card",14.73,0.45,2.66569
"43048","paid off","credit_card",11.31,0.45,9.5664
"23255","paid off","debt_consolidation",18.19,0.45,7.7754
"16584","default","debt_consolidation",2.42,0.5,7.02867
"40478","paid off","debt_consolidation",10.31,0.3,8.93077
"16968","default","credit_card",3.34,0.55,3.08528
"4179","default","debt_consolidation",22.58,0.4,9.03776
"17110","default","other",15.46,0.3,9.37884
"27075","paid off","debt_consolidation",29.83,0.45,7.76883
"14873","default","debt_consolidation",23.01,0.6,13.8504
"38560","paid off","debt_consolidation",23.04,0.6,0.78296
"19217","default","debt_consolidation",20.76,0.5,7.7856
"42172","paid off","debt_consolidation",13.75,0.55,3.55783
"40496","paid off","credit_card",15.73,0.4,7.40681
"33879","paid off","medical",14.59,0.65,1.7532
"11479","default","other",14.03,0.55,11.128
"30895","paid off","debt_consolidation",17.17,0.55,13.7174
"33895","paid off","debt_consolidation",21.32,0.65,7.0118
"10711","default","debt_consolidation",32.82,0.3,15.1377
"34231","paid off","debt_consolidation",15.32,0.55,5.72492
"7004","default","medical",14.9,0.45,4.4305
"38310","paid off","debt_consolidation",14.61,0.3,8.22615
"12979","default","credit_card",16.83,0.45,7.59063
"20119","default","debt_consolidation",4.99,0.6,3.4018
"5943","default","home_improvement",5.61,0.65,0.989824
"31415","paid off","debt_consolidation",17.76,0.4,7.87657
"26295","paid off","credit_card",22.56,0.45,10.2585
"10061","default","credit_card",20.75,0.55,7.3008
"9005","default","home_improvement",25.9,0.25,7.5466
"34366","paid off","debt_consolidation",14.64,0.35,15.2327
"17669","default","debt_consolidation",28.42,0.3,13.3317
"4156","default","small_business",7.54,0.45,1.60149
"39235","paid off","major_purchase",2.82,0.55,15.3822
"3196","default","major_purchase",7.4,0.6,7.7829
"2428","default","small_business",14.16,0.75,5.79288
"30023","paid off","debt_consolidation",12.21,0.5,12.372
"17003","default","debt_consolidation",15.96,0.4,4.8516
"12437","default","credit_card",17.56,0.65,12.4749
"10539","default","credit_card",18.98,0.55,12.239
"38976","paid off","credit_card",26.96,0.7,10.8892
"22212","default","credit_card",2.57,0.5,7.90869
"21525","default","debt_consolidation",12.19,0.6,6.5424
"15348","default","debt_consolidation",21.59,0.55,14.0686
"30711","paid off","home_improvement",6.4,0.7,5.4744
"8666","default","small_business",27.68,0.6,8.9165
"25324","paid off","other",5.27,0.15,1.96645
"5150","default","home_improvement",13.3,0.7,2.976
"3925","default","credit_card",18.72,0.5,3.32769
"41526","paid off","debt_consolidation",12.09,0.75,4.67727
"23279","paid off","debt_consolidation",29.49,0.35,9.7377
"17560","default","other",28.18,0.4,12.959
"32594","paid off","debt_consolidation",21.18,0.5,11.7431
"33364","paid off","debt_consolidation",19.98,0.5,5.41725
"28296","paid off","debt_consolidation",22.73,0.6,5.7734
"30316","paid off","medical",1.54,0.75,4.53408
"14423","default","other",14.91,0.55,2.6412
"9064","default","debt_consolidation",18.42,0.3,3.36944
"21645","default","credit_card",25.3,0.35,11.3407
"46185","paid off","debt_consolidation",20.26,0.5,7.37095
"27275","paid off","debt_consolidation",5.44,0.65,8.26695
"35972","paid off","credit_card",8.76,0.65,7.3786
"4815","default","other",12.69,0.65,3.83265
"1000","default","major_purchase",2.6,0.65,4.682
"23847","paid off","credit_card",10.98,0.35,7.74584
"5732","default","credit_card",21.82,0.6,4.047
"43906","paid off","credit_card",11.87,0.55,12.2147
"46041","paid off","credit_card",3.89,0.65,2.8851
"7983","default","debt_consolidation",15.72,0.55,8.73831
"39267","paid off","debt_consolidation",26.39,0.55,13.1814
"11079","default","credit_card",31.74,0.25,12.6508
"36699","paid off","home_improvement",4.35,0.65,2.76691
"40364","paid off","debt_consolidation",0.61,0.6,1.91927
"40257","paid off","credit_card",16.49,0.65,7.28723
"6316","default","other",16.88,0.45,4.66535
"44648","paid off","credit_card",17.7,0.5,8.83794
"45241","paid off","other",9.8,0.65,2.4075
"22728","default","credit_card",27.51,0.55,7.5696
"20168","default","credit_card",7.13,0.65,11.764
"1026","default","small_business",7.05,0.65,9.2112
"23500","paid off","debt_consolidation",2.66,0.55,2.99372
"3665","default","debt_consolidation",1.11,0.35,6.89291
"32541","paid off","debt_consolidation",2.37,0.55,3.1492
"11510","default","debt_consolidation",22.71,0.4,6.75212
"40199","paid off","debt_consolidation",18.83,0.5,3.48608
"30958","paid off","debt_consolidation",20.9,0.55,6.526
"33838","paid off","debt_consolidation",23.47,0.45,14.2176
"11977","default","debt_consolidation",12.4,0.4,10.9884
"26524","paid off","debt_consolidation",18.35,0.55,4.93128
"8504","default","debt_consolidation",13.29,0.4,5.6448
"27231","paid off","debt_consolidation",13.8,0.55,9.46717
"214","default","credit_card",11.76,0.4,4.64592
"28612","paid off","debt_consolidation",13.27,0.6,5.64823
"21889","default","debt_consolidation",28.47,0.4,14.6723
"44838","paid off","credit_card",7.49,0.5,3.07214
"33967","paid off","credit_card",11.7,0.55,7.46143
"29923","paid off","debt_consolidation",10.22,0.55,3.32089
"35366","paid off","credit_card",9.73,0.75,5.00667
"12960","default","debt_consolidation",6.44,0.5,7.03044
"35285","paid off","debt_consolidation",4.96,0.55,11.1808
"24493","paid off","other",8.18,0.6,4.7521
"23849","paid off","debt_consolidation",14.88,0.55,5.16
"36494","paid off","debt_consolidation",24.5,0.55,12.2121
"11776","default","debt_consolidation",13.7,0.55,10.8142
"30969","paid off","credit_card",15.92,0.5,8.28579
"31428","paid off","debt_consolidation",27.3,0.65,5.1014
"8588","default","debt_consolidation",8.99,0.6,6.61458
"4441","default","home_improvement",8.56,0.65,3.25412
"29691","paid off","debt_consolidation",24.75,0.6,8.88075
"44427","paid off","debt_consolidation",10.74,0.5,7.43777
"950","default","debt_consolidation",17.19,0.65,9.5665
"19821","default","credit_card",18.67,0.55,9.99823
